,0
308,4Ptas.- 2.0i 16v Exclusive AT (BVA) (143cv)
309,1.6 5Ptas. Pack I Plus I-Motion (101cv)
310,Allure Plus 1.6 THP MT (163cv) 4Ptas. (L20)
311,Adventure 1.6 16v Pack Tech / Top (115cv) (L10)
312,4Ptas. 1.6 N Super Serie Especial
313,323i Sedán Active
314,111 Furgón Mixto AA
315,2.0 TDI Advance MT (110cv) (L11) 
316,2.0 TDI Luxury DSG (140cv) (L11)
317,1.2 Puretech S&S AT6 Shine (110cv)
318,1.6 VTi 115 Feel (L16)
319,1.5 Platinum AT (105cv) (L16) 4Ptas.
320,1.6 XLS MP3 (L08)
321,1.5 LX MT 2ABG (120cv)
322,2.8 CTDI C/Doble 4x2 LT (200cv) (L16)
323,Wagon 1.4/1.6 N GLS
324,1.6 Trendline MT (110cv)
325,1.8T FSI (170cv) MT Ambition
326,1.6 16v MT Sporting TC y Cuero 5Ptas. (115cv) (L13) 
327,4x4 CD DX 2.4 TDI 6MT (150cv) (L16)
328,3.0 TDI C/D 4x2 XLT (L05)
329,135i Sportive Coupé (306cv) (L06)
330,2.0 Classic MT
331,2.0 Dynamique (143cv)
332,2500 Laramie TD AT 4x4 C/Doble (325hp)
333,1.6 Outsider HR (115cv) (L21)
334,1.9D Authentique
335,4Ptas. 1.4 N LS Pack
336,1.6 5Ptas. Comfortline
337,2500 SLT TD AT 4x4 C/Doble (325hp)
338,3Ptas. 1.2 Confort / Expression Pack I (75cv)
339,35i xDrive 3.0 Sportive (306cv)
340,1.5 S (105cv) 4Ptas.
341,5Ptas.- 2.0 Hdi Exclusive (110cv)
342,II - 1.6 16v Privilege Pack (105cv)
343,1.0 Easy (75cv)
344,2.0 4x4 6MT Luxe NAV (138cv)
345,2.4 Longitude Plus AT9 AWD (L19)
346,SXT 2.4 2 Filas
347,A200 BlueEfficiency AT Urban (156cv) (L13)
348,2.3D 6MT C/Doble 4x4 LE (190cv) (L18)
349,1.6 THP 6AT Shine (165cv) (L16)
350,1.6 Sportline 3Ptas.
351,1.6 Expression
352,Allure 1.6 HDi MT NAV (115cv) 4Ptas.
353,1.6 Comfort 4x2 (125cv)
354,1.8 Precision MT (130cv)
355,Sportback 1.4 TFSI (125cv) MT Cuero Premium
356,1.6 Authentique / Pack Plus GNC CD AA DA
357,2.0 N MT Ghia (L07)
358,Coupé 1.8T FSI MT Premium / Sport (160cv)
359,Feline 1.6 THP Tiptronic (163cv) 4Ptas. (L20)
360,2.5T MT Trend 4x4
361,II - 1.6 8v Expression Pack (85cv)
362,2.5 TDI C/S 4x2 DX (120cv)
363,328i Sedán Sport/Luxury (245cv) (L12)
364,2.0 HDI Feline Tiptronic (163cv)
365,5Ptas. GT 2.0 GLS 8v
366,Abarth 1.4T 595 Turismo (165cv) (L18)
367,2.4 Longitude AT9 AWD (174cv) (L17)
368,XLI 1.8 MT (136cv) (L12)
369,1.6T Feline Tiptronic (156cv)
370,5Ptas. 1.6 XT Premium Tiptronic
371,2.0 TD Limited Plus AT9 4x4 (170cv) (L19)
372,1.6 VTi 115 Exclusive Pack My Way (L12) 
373,2.8 TD DLX 4x4
374,1.6 HDI Confort
375,1.6 LTZ (115cv) 4Ptas.
376,1.8 8v. LT MT (105cv)
377,2.0 XLT 4X4
378,1.9 SDI Comfortline
379,1.6 16v CVT Intens (115cv)
380,1.6 4x2 Confort Plus / Dinamique (110cv)
381,2.0i Tendance (143cv)
382,GTI 5Ptas. 1.6 THP 6MT (200cv)
383,500C 1.4 MultiAir Lounge AT (105cv) Cabrio
384,SXT 2.4 3 Filas 6AT - Techo
385,II EXE 4Ptas. 1.6 Sigma Trend
386,1.8 MT Precision Pack Style (130cv)
387,3.0 TDI V6 (224cv) 4x4 C/Doble Comfortline AT (L17)
388,118i Sport (136cv) 5Ptas.(L16)
389,XEI 1.8 AT (136cv) (L12)
390,Fase II 2.0 4x4 6MT Privilege (143cv) DISCONTINUO
391,1.5i 90 Origine Pack Zenith (L12) 
392,2.0 TSI Sport & Style Tiptronic (L16)
393,SR 2.0 CVT (147cv) (L20)
394,2.0 Ecoboost SE AT (240cv) (L15)
395,1.6 16v SX (L11)
396,1.4 N 8v LS Spirit (92cv) 5Ptas.
397,2.4 EXL AT (182cv) (L 03)
398,1.6 THP GTI (208cv) 3Ptas. (L18)
399,2.5 TDI C/D 4x2 DX Pack 2ABG ABS (120cv)
400,Furgón 1.9D Confort AA PLC
401,PH3 1.6 Authentique Plus 2PLC
402,4Ptas. Acenta 1.8 (124cv)
403,1.6 Trendline I-Motion
404,2.4 N LT MT 4X4 (167cv) (L17)
405,1.4 N 8v Advantage AA DA (92cv) 5Ptas. (L13)
406,1.6 Mi AA
